O	Na	Mg	Al	Si	K	Ca	Ti	Fe
3.188	0.112	0.126	0.416	0.942	0.05	0.169	0.029	0.243
3.004	0.091	0.074	0.318	0.962	0.045	0.256	0	0.155
3.144	0.101	0.233	0.388	1.014	0.01	0.105	0	0.1
2.841	0.04	0.105	0.209	0.997	0.021	0.268	0.051	0.021
3.078	0.09	0.055	0.4	0.995	0.029	0.171	0	0.142
3.48	0.163	0.125	0.305	1.065	0.052	0.244	0	0.319
2.966	0.133	0.119	0.417	0.95	0.027	0.191	0	0.041
2.936	0.03	0.146	0.301	0.982	0.065	0.195	0	0.106
3.11	0.049	0.181	0.33	0.946	0.044	0.174	0.002	0.229
3.08	0.066	0.079	0.281	1.036	0.052	0.269	0.051	0.062
2.783	0.137	0.047	0.308	0.936	0.05	0.101	0.027	0.11
2.946	0.022	0.131	0.25	1.051	0.033	0.105	0.012	0.164
2.918	0.006	0.095	0.375	0.96	0.011	0.138	0	0.184
2.852	0.124	0.161	0.262	0.929	0.044	0.234	0.011	0.093
3	0.041	0.138	0.374	0.863	0.042	0.252	0.038	0.168
3.014	0.124	0.053	0.376	0.998	0.038	0.219	0.002	0.075
2.71	0.03	0.095	0.339	0.901	0.062	0.174	0	0.069
2.938	0.064	0.086	0.224	0.994	0.044	0.11	0.025	0.24
3.015	0.118	0.075	0.412	0.921	0.043	0.207	0.002	0.148
3.095	0	0.136	0.341	1.012	0.03	0.115	0.022	0.167
2.497	0.028	0.084	0.199	0.893	0.048	0.118	0	0.151
2.877	0.09	0.064	0.34	1.002	0.052	0.063	0.014	0.124
3.156	0.148	0.118	0.344	0.971	0.033	0.265	0.016	0.14
3.081	0.047	0.122	0.431	0.968	0.057	0.208	0	0.091
3.08	0.074	0	0.396	0.975	0.024	0.343	0.03	0.063
2.855	0.092	0.093	0.296	0.966	0.036	0.26	0.011	0.028
3.044	0.029	0.143	0.344	0.965	0.017	0.241	0	0.128
3.006	0.066	0.045	0.327	0.959	0.039	0.295	0.035	0.099
2.832	0.09	0.1	0.33	0.982	0.046	0.043	0.021	0.091
2.847	0.109	0.078	0.207	1.019	0.016	0.146	0.013	0.14
2.819	0.071	0.133	0.294	0.959	0.033	0.176	0.002	0.072
2.707	0.079	0.108	0.263	0.886	0.02	0.178	0	0.162
3.154	0.082	0.123	0.348	0.976	0.045	0.211	0.015	0.251
3.322	0.064	0.14	0.359	1.034	0.032	0.33	0.009	0.173
3.283	0.078	0.067	0.474	0.983	0.042	0.205	0.014	0.213
3.146	0.101	0.112	0.302	1.058	0.013	0.118	0.014	0.217
3.067	0.094	0.112	0.375	0.943	0.062	0.221	0.005	0.152
3.233	0.116	0.13	0.264	1.016	0.029	0.238	0.016	0.328
2.758	0.105	0.141	0.245	0.944	0.04	0.205	0.002	0.075
2.885	0.072	0.133	0.32	0.938	0.043	0.265	0.013	0.045
3.173	0.081	0.123	0.395	0.974	0.065	0.122	0.014	0.204
2.933	0.048	0.154	0.334	0.978	0.034	0.084	0	0.179
3.02	0.155	0.073	0.24	1.019	0.026	0.2	0.009	0.229
3.14	0.156	0.167	0.271	1.028	0.063	0.212	0.03	0.118
3.106	0.047	0.152	0.353	1.032	0.025	0.129	0.046	0.08
2.949	0.08	0.147	0.199	1.053	0.056	0.123	0.008	0.144
2.989	0.031	0.179	0.372	0.931	0.021	0.079	0.021	0.163
3.045	0.021	0.093	0.304	0.951	0.045	0.248	0	0.252
2.867	0.108	0.127	0.254	1	0.044	0.049	0.016	0.142
3.402	0.093	0.042	0.439	1.043	0.035	0.284	0	0.232
2.854	0.065	0.09	0.373	0.98	0.048	0.057	0.001	0.088
2.793	0.07	0.077	0.353	0.894	0.046	0.275	0.012	0.03
3.277	0.095	0.123	0.398	1.02	0.063	0.128	0	0.27
3.216	0.102	0.159	0.415	0.927	0.055	0.236	0.008	0.171
2.706	0.07	0.094	0.231	1.003	0.06	0.033	0.016	0.089
2.893	0.042	0.041	0.29	0.95	0.054	0.227	0.011	0.179
3.236	0.092	0.121	0.346	1.065	0.044	0.2	0.012	0.13
3.021	0.095	0.13	0.44	0.941	0.042	0.143	0	0.118
3.103	0.203	0.043	0.27	0.988	0.042	0.268	0	0.235
3.044	0.149	0.043	0.31	0.927	0.043	0.228	0.026	0.304
2.795	0.098	0.136	0.413	0.868	0.038	0.1	0	0.128
3.15	0.105	0.099	0.457	0.919	0.023	0.203	0.009	0.187
2.937	0.097	0.197	0.332	0.941	0.038	0.184	0.002	0.071
2.943	0.068	0.132	0.301	0.969	0.032	0.226	0	0.124
3.36	0.092	0.12	0.325	1.068	0.047	0.241	0.021	0.217
3.124	0.113	0.083	0.442	0.973	0.05	0.165	0.012	0.147
2.932	0.104	0.113	0.313	1.045	0.062	0.174	0	0.002
2.799	0.102	0.067	0.386	0.9	0.036	0.198	0	0.062
3.018	0.133	0.208	0.243	1.037	0.066	0.167	0.007	0.063
3.052	0.021	0.069	0.315	1.012	0.057	0.202	0.014	0.15
2.722	0.054	0.143	0.232	0.875	0.044	0.244	0.002	0.182
2.936	0.067	0.168	0.345	0.936	0.011	0.156	0.018	0.141
2.876	0.108	0.15	0.326	0.894	0.028	0.165	0.041	0.104
3.348	0	0.173	0.277	1.021	0.065	0.148	0.016	0.432
3.17	0.132	0.128	0.293	1.082	0.044	0.305	0.007	0.025
2.975	0.074	0.177	0.23	1.017	0.042	0.166	0	0.143
2.892	0.041	0.078	0.306	0.961	0.046	0.134	0.046	0.122
3.115	0.096	0.132	0.301	1.048	0.021	0.202	0.029	0.097
2.777	0.063	0.161	0.325	0.894	0.053	0.107	0.02	0.116
2.869	0.038	0.116	0.259	1.048	0.017	0.157	0	0.082
3.062	0.102	0.141	0.308	0.993	0.009	0.126	0	0.261
2.687	0.144	0.061	0.316	0.882	0.03	0.088	0	0.184
3.002	0.09	0.179	0.34	0.954	0.058	0.155	0.005	0.116
3.084	0.033	0.068	0.347	1.063	0.041	0.132	0.009	0.179
2.819	0.079	0.101	0.287	0.937	0.043	0.169	0.025	0.097
2.931	0.113	0.162	0.321	0.942	0.012	0.192	0.001	0.128
2.771	0.116	0.109	0.256	0.94	0.037	0.211	0	0.083
2.893	0.073	0.055	0.281	1.009	0.046	0.18	0.012	0.133
3.075	0.008	0.061	0.412	1.048	0.031	0.008	0.025	0.178
3.049	0.073	0.06	0.27	1.033	0.044	0.101	0	0.299
3.251	0.126	0.074	0.365	0.939	0.053	0.208	0.032	0.268
3.129	0.147	0.141	0.314	0.935	0.031	0.254	0.011	0.214
3.013	0.095	0.136	0.267	1.001	0.023	0.192	0.042	0.123
3.013	0.061	0.103	0.269	1.016	0.073	0.203	0	0.178
2.968	0.193	0.116	0.409	0.952	0.039	0.193	0	0.019
2.78	0.065	0.1	0.305	0.938	0.035	0.141	0.02	0.115
3.367	0.071	0.077	0.494	0.989	0.041	0.184	0.051	0.205
2.986	0.11	0.077	0.232	1.003	0.048	0.241	0.008	0.166
3.123	0.132	0	0.427	0.992	0.011	0.199	0.017	0.151
3.005	0.09	0.089	0.341	0.977	0.061	0.249	0.016	0.092
2.9	0.047	0.156	0.358	0.955	0.04	0.179	0	0.073
3.229	0.131	0.048	0.403	1.031	0.039	0.215	0.01	0.162
2.505	0.03	0.077	0.196	0.872	0	0.249	0	0.102
2.918	0.106	0.066	0.388	0.877	0.036	0.166	0.007	0.198
3.153	0.084	0.108	0.355	1.003	0.018	0.171	0.043	0.134
2.713	0.167	0.12	0.266	1.001	0.045	0.061	0.004	0.012
3.217	0.041	0.148	0.256	0.996	0.041	0.136	0.05	0.286
3.161	0.03	0.14	0.266	0.963	0.041	0.159	0.05	0.284
2.687	0.111	0.054	0.228	0.978	0.071	0.067	0	0.165
2.904	0.112	0.031	0.298	1	0.034	0.03	0.013	0.223
3.041	0.007	0.127	0.425	1.025	0.033	0.156	0.006	0.032
2.914	0.121	0.143	0.29	0.993	0.026	0.045	0.009	0.144
2.913	0.099	0.078	0.363	1.024	0.016	0.185	0	0
3.024	0.11	0.106	0.329	0.997	0.049	0.221	0.018	0.09
3.086	0.135	0.098	0.349	1.001	0.027	0.15	0.005	0.186
